,Image,x_top,y_top,x_bottom,y_bottom,label
0,image_0001.jpg,30,137,49,349,Airplanes
0,image_0002.jpg,35,153,59,342,Airplanes
0,image_0003.jpg,36,135,47,331,Airplanes
0,image_0004.jpg,24,141,47,342,Airplanes
0,image_0005.jpg,18,146,48,339,Airplanes
0,image_0006.jpg,24,126,48,344,Airplanes
0,image_0007.jpg,23,122,49,344,Airplanes
0,image_0008.jpg,29,119,51,344,Airplanes
0,image_0009.jpg,29,137,50,344,Airplanes
0,image_0010.jpg,32,106,55,335,Airplanes
0,image_0011.jpg,35,130,58,344,Airplanes
0,image_0012.jpg,25,122,49,344,Airplanes
0,image_0013.jpg,31,146,48,344,Airplanes
0,image_0014.jpg,37,121,55,349,Airplanes
0,image_0015.jpg,39,163,61,353,Airplanes
0,image_0016.jpg,54,137,59,327,Airplanes
0,image_0017.jpg,37,143,62,347,Airplanes
0,image_0018.jpg,33,147,57,348,Airplanes
0,image_0019.jpg,33,146,51,341,Airplanes
0,image_0020.jpg,31,165,45,345,Airplanes
0,image_0021.jpg,28,129,48,347,Airplanes
0,image_0022.jpg,30,130,49,344,Airplanes
0,image_0023.jpg,23,121,50,341,Airplanes
0,image_0024.jpg,25,106,48,344,Airplanes
0,image_0025.jpg,31,140,56,342,Airplanes
0,image_0026.jpg,30,127,59,337,Airplanes
0,image_0027.jpg,25,123,53,348,Airplanes
0,image_0028.jpg,29,114,54,346,Airplanes
0,image_0029.jpg,29,119,56,348,Airplanes
0,image_0030.jpg,15,161,47,354,Airplanes
0,image_0031.jpg,41,197,58,347,Airplanes
0,image_0032.jpg,29,119,50,342,Airplanes
0,image_0033.jpg,29,133,49,339,Airplanes
0,image_0034.jpg,28,122,58,340,Airplanes
0,image_0035.jpg,17,128,49,332,Airplanes
0,image_0036.jpg,6,166,49,347,Airplanes
0,image_0037.jpg,33,138,51,345,Airplanes
0,image_0038.jpg,4,106,47,347,Airplanes
0,image_0039.jpg,20,147,46,335,Airplanes
0,image_0040.jpg,29,146,47,344,Airplanes
0,image_0041.jpg,30,138,48,335,Airplanes
0,image_0042.jpg,31,154,52,336,Airplanes
0,image_0043.jpg,39,128,61,337,Airplanes
0,image_0044.jpg,29,132,63,333,Airplanes
0,image_0045.jpg,35,156,44,339,Airplanes
0,image_0046.jpg,24,148,61,346,Airplanes
0,image_0047.jpg,24,151,58,336,Airplanes
0,image_0048.jpg,29,124,54,332,Airplanes
0,image_0049.jpg,39,175,57,347,Airplanes
0,image_0050.jpg,42,126,61,338,Airplanes
0,image_0051.jpg,32,174,52,344,Airplanes
0,image_0052.jpg,23,143,57,347,Airplanes
0,image_0053.jpg,42,137,52,345,Airplanes
0,image_0054.jpg,43,169,63,324,Airplanes
0,image_0055.jpg,27,115,53,344,Airplanes
0,image_0056.jpg,28,116,71,326,Airplanes
0,image_0057.jpg,52,141,49,332,Airplanes
0,image_0058.jpg,39,149,39,342,Airplanes
0,image_0059.jpg,5,180,53,341,Airplanes
0,image_0060.jpg,17,127,54,339,Airplanes
0,image_0061.jpg,46,122,51,336,Airplanes
0,image_0062.jpg,43,126,55,346,Airplanes
0,image_0063.jpg,31,124,46,342,Airplanes
